employeur_or,employeur,commune,lat,long,departement,pays,type_employ,intitule_or,intitule,type,date,annee
Bourges Plus,Bourges Plus,Bourges,47.083611111111,2.3955555555556,Cher,France,EPCI,un Archiviste Assistant de Conservation du Patrimoine (h/f),un Archiviste Assistant de Conservation du Patrimoine,Public,25/10/2017,2017
Brest métropole océane,Brest Métropole,Brest,48.39,-4.4869444444444,Finistère,France,EPCI,un Assistant de conservation du patrimoine « Archives » (h/f),un Assistant de conservation du patrimoine  Archives,Public,25/04/2013,2013
GRAHAL,La société GRAHAL,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,1 chef de département Archives (H/F),1 chef de département Archives,Privé,26/08/2021,2021
Brest métropole océane,Brest Métropole,Brest,48.39,-4.4869444444444,Finistère,France,EPCI,un assistant documentaire (h/f),un assistant documentaire,Public,10/01/2008,2008
France Stratégie (Commissariat général à stratégie et à prospective),France Stratégie,Paris,48.856944444444,2.3513888888889,Paris,France,État et service déconcentré,un archiviste catégorie A,un archiviste catégorie A,Public,02/02/2015,2015
agence de Eau Rhin-Meuse,Agence de l'eau Rhin-Meuse,Moulins-lès-Metz,49.106388888889,6.1088888888889,Moselle,France,Établissement public,un(e) archiviste,un archiviste,Public,14/08/2007,2007
Agence régionale de santé - Ile de France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,un Responsable Archives-Records management Chef de projet MOA GED (F/H),un Responsable Archives-Records management Chef de projet MOA GED,Public,22/10/2020,2020
Agence régionale de santé – Ile de France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,un Archiviste – Records manager (F/H),un Archiviste – Records manager,Public,22/10/2020,2020
Agence Régionade Santé d’Ile-de-France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,Un Archiviste - Chef de projet maîtrise d’ouvrage GED-RM-SAE (h/f),Un Archiviste - Chef de projet maîtrise d’ouvrage GED-RM-SAE,Public,30/01/2018,2018
Agence Régionade Santé d’Ile-de-France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,Responsable Du service Archives-Records management (h/f),Responsable Du service Archives-Records management,Public,21/07/2017,2017
Perles d’Histoire,Perles d’Histoire,Paris,48.856944444444,2.3513888888889,Paris,France,Entreprise,un Directeur Archives  (F/H),un Directeur Archives,Privé,09/07/2021,2021
agence régionale de santé Ile-de-France,Agence régionale de santé d'Ile-de-France,Saint-Denis,48.935555555556,2.3538888888889,Seine-Saint-Denis,France,Établissement public,un Archiviste – Records manager H/F,un Archiviste – Records manager,Public,22/05/2019,2019
Agglo d’Elbeuf,Agglo d'Elbeuf,Elbeuf,49.285833333333,1.0083333333333,Seine-Maritime,France,EPCI,une(e) chargé(e) des fonds contemporains,une chargé des fonds contemporains,Public,31/07/2008,2008
agglomération de Nevers,Nevers Agglomération,Nevers,46.9925,3.1566666666667,Nièvre,France,EPCI,un(e) archiviste,un archiviste,Public,17/01/2013,2013
